count_overdue_filed_since_pandemic,count_overdue,count_filed_since_pandemic,mean_days_overdue,overdue_mean_days_since_inspection,pre_pandemic_resolved_count,pre_pandemic_mean_resolution_days,count_resolved_during_pandemic,count_resolved_filed_since_pandemic,count_overdue_a,count_overdue_b,count_overdue_c,max_overdue,buildingid,borough,boroid,registrationid,housenumber,lowhousenumber,highhousenumber,streetcode,streetname,postcode,apartment,story,block,lot,bin,bbl,nta,total_violations
55,67,92,103,139,0,0,0,4,2,23,42,448,6010,,1,104712,698,698,698,11710,AMSTERDAM AVENUE,10025,,,1241,35,1033649,1012410035,Upper West Side,104
55,88,148,73,135,170,13,43,27,16,43,29,367,125695,,2,206993,957,957,957,78550,WOODYCREST AVENUE,10452,31A,6,2511,68,2003187,2025110068,Highbridge,407
55,79,149,78,138,13,33,3,11,18,36,25,427,334205,,3,327633,553,553,553,59430,MC DONALD AVENUE,11218,1R,1,5353,59,3125271,3053530059,Kensington-Ocean Parkway,188
54,187,74,186,246,28,17,0,1,29,77,81,516,65593,,2,216442,346,346,346,26850,EAST 173 STREET,10457,,1,2790,18,2007315,2027900018,Mount Hope,260
54,77,130,93,134,222,10,56,24,0,41,36,587,309623,,3,374312,7,7,29,48330,HEGEMAN AVENUE,11212,5C,5,3621,1,3082700,3036210001,Brownsville,376
53,71,67,65,120,22,13,6,6,10,44,17,423,806888,,2,222175,40,40,40,61330,RICHMAN PLAZA,10453,23F,23,2882,229,2113629,2028820229,University Heights-Morris Heights,113
53,95,104,151,193,77,16,18,16,4,40,51,574,45417,,2,211418,1080,1080,1080,8720,ANDERSON AVENUE,10452,4E,4,2505,6,2003056,2025050006,Highbridge,254
53,142,88,141,206,30,26,0,2,33,76,33,574,43682,,1,141070,407,407,409,37650,WEST 205 STREET,10034,2D,2,2202,31,1064506,1022020031,Marble Hill-Inwood,235
53,112,75,188,251,19,36,16,9,24,66,22,571,114418,,2,200462,2240,2240,2240,68420,TIEBOUT AVENUE,10457,2B,2,3143,150,2013321,2031430150,Fordham South,160
52,64,119,101,154,33,24,54,46,5,34,25,557,314703,,3,314376,141,141,141,51430,HULL STREET,11233,,Fire Escape,1533,51,3041685,3015330051,Ocean Hill,165
52,155,82,205,260,4,11,0,8,26,69,60,587,301169,,3,325162,2004,2002,2014,44430,GLENWOOD ROAD,11210,3D,3,7548,43,3205715,3075480043,Flatbush,200
52,235,96,230,289,19,19,0,7,45,137,53,625,220110,,3,326987,2017,2017,2025,26230,CHURCH AVENUE,11226,3I,3,5081,39,3116556,3050810039,Flatbush,346
51,72,70,115,162,24,28,9,10,4,35,33,552,82015,,2,220202,1060,1060,1060,36620,GRANT AVENUE,10456,3,2,2448,10,2002538,2024480010,East Concourse-Concourse Village,125
51,144,84,178,242,162,9,5,10,26,94,24,571,27590,,1,103462,165,165,175,30490,SHERMAN AVENUE,10034,2G,2,2221,11,1064768,1022210011,Marble Hill-Inwood,367
51,181,128,169,226,80,25,3,5,20,114,47,553,323585,,3,331174,570,570,570,54930,LEFFERTS AVENUE,11203,2H,2,1333,13,3035500,3013330013,Prospect Lefferts Gardens-Wingate,382
51,89,107,88,143,22,24,10,16,8,49,32,460,104343,,2,208867,1417,1417,1417,59520,PROSPECT AVENUE,10459,5C,5,2962,40,2010200,2029620040,Morrisania-Melrose,214
50,71,68,141,173,0,0,0,7,1,21,49,488,212440,,3,342492,3039,3039,3039,21880,BRIGHTON 4 STREET,11235,,Basement,8674,86,3244850,3086740086,Brighton Beach,138
50,53,88,50,93,3,47,16,20,7,21,25,296,81846,,2,205106,2558,2558,2560,36420,GRAND CONCOURSE,10458,1D,2,3154,22,2013609,2031540022,Bedford Park-Fordham North,94
50,122,74,132,175,0,0,0,13,4,55,63,594,25556,,1,105427,63,63,63,26490,MORNINGSIDE AVENUE,10027,5S,5,1947,64,1059163,1019470064,Central Harlem South,157
49,66,133,86,151,4,49,23,28,4,43,19,564,2520,,1,139749,1307,1301,1309,10410,5 AVENUE,10029,13D,13,1616,1,1078884,1016160001,East Harlem South,166
49,114,141,139,188,141,4,66,35,9,47,58,622,5836,,1,118738,2304,2304,2304,11710,AMSTERDAM AVENUE,10033,18,5,2131,48,1063171,1021310048,Washington Heights South,373
48,174,80,155,209,82,16,0,14,9,96,69,605,66245,,2,207704,612,610,612,27060,EAST 180 STREET,10457,23,5,3069,78,2012012,2030690078,East Tremont,304
48,84,97,121,182,167,16,41,8,12,43,29,530,324068,,3,311097,130,130,130,55330,LENOX ROAD,11226,A3,1,5084,29,3116645,3050840029,Prospect Lefferts Gardens-Wingate,356
48,71,75,91,148,46,43,8,5,8,44,19,425,65040,,2,204979,288,288,288,26700,EAST 168 STREET,10456,E6,5,2435,15,2002293,2024350015,East Concourse-Concourse Village,150
47,47,56,29,66,0,0,0,1,0,27,20,90,297479,,3,349601,1492,1492,1492,42730,FULTON STREET,11216,4,4,1864,1,3053838,3018640001,Crown Heights North,57
47,160,146,211,267,312,11,37,24,21,78,61,531,327259,,3,316801,305,295,305,56230,LINDEN BOULEVARD,11226,C22,3,4853,86,3108078,3048530086,Erasmus,626
47,98,67,145,202,0,0,0,3,16,52,30,508,718042,,5,501281,91,91,91,20300,BROAD STREET,10304,1B,1,526,14,5013778,5005260014,Stapleton-Rosebank,159
47,134,77,152,211,77,42,28,1,23,82,29,501,184733,,3,376800,248,248,248,12830,ARLINGTON AVENUE,11208,D1,4,3940,6,3087668,3039400006,Cypress Hills-City Line,244
47,89,57,167,235,0,0,0,7,16,63,10,528,333371,,3,304836,245,245,245,59030,MARTENSE STREET,11226,,4,5088,63,3116837,3050880063,Prospect Lefferts Gardens-Wingate,104
47,95,91,148,197,0,0,0,3,7,51,37,554,183934,,3,345879,2312,2312,2320,12330,ALBEMARLE ROAD,11226,2A,2,5127,5,3117701,3051270005,Erasmus,293
47,114,104,128,179,65,41,32,22,15,65,34,578,324031,,3,312883,1087,1087,1105,55330,LENOX ROAD,11212,313,3,4650,52,3101228,3046500052,Rugby-Remsen Village,256
46,95,77,137,203,2,4,4,7,22,56,17,622,50305,,2,221022,2190,2190,2190,13420,BOLTON STREET,10462,LD,1,4317,100,2049389,2043170100,Pelham Parkway,133
46,76,81,156,216,45,14,4,6,10,48,18,582,119879,,2,206330,2334,2334,2334,73120,WASHINGTON AVENUE,10458,,,3053,74,2011631,2030530074,Claremont-Bathgate,160
46,102,101,161,211,56,25,0,1,7,52,43,558,107767,,2,209563,2105,2105,2105,62720,RYER AVENUE,10457,3F,3,3156,155,2013695,2031560155,Mount Hope,219
45,120,61,167,233,24,27,0,3,28,67,25,472,360624,,3,373891,1106,1106,1114,73210,REMSEN AVENUE,11236,2A,2,7994,58,3224132,3079940058,Canarsie,171
45,69,87,127,181,87,18,22,24,12,39,18,454,80075,,2,200741,1112,1112,1114,35020,GERARD AVENUE,10452,45,4,2478,24,2002947,2024780024,West Concourse,217
45,59,83,127,163,91,4,35,34,2,13,44,569,349207,,3,304691,321,321,339,68730,OVINGTON AVENUE,11209,A26,2,5872,71,3145712,3058720071,Bay Ridge,189
45,56,103,77,114,13,38,31,36,0,23,33,382,63262,,2,205791,528,528,528,25920,EAST 142 STREET,10454,27,5,2268,16,2000097,2022680016,Mott Haven-Port Morris,130
44,44,57,36,86,0,0,8,8,7,26,11,139,227751,,3,0,488,488,488,30430,CRESCENT STREET,11208,1,1,4215,34,3094726,3042150034,East New York,57
